ATM Name,Transaction Date,No Of Withdrawals,Total amount Withdrawn (Rupee),Total amount Withdrawn (Rupiah),Weekday
KK Nagar ATM,08/04/11,202,914800,170966972,Friday
Christ College ATM,08/04/11,95,373000,69709970,Friday
Big Street ATM,09/04/11,42,155600,29080084,Saturday
Mount Road ATM,09/04/11,184,602200,112545158,Saturday
Airport ATM,09/04/11,120,550300,102845567,Saturday
KK Nagar ATM,09/04/11,232,759100,141868199,Saturday
Christ College ATM,09/04/11,91,483600,90380004,Saturday
Big Street ATM,10/04/11,42,112700,21062503,Sunday
Mount Road ATM,10/04/11,169,442300,82661447,Sunday
Airport ATM,10/04/11,66,350200,65448878,Sunday
KK Nagar ATM,10/04/11,143,370100,69167989,Sunday
Christ College ATM,10/04/11,58,217800,40704642,Sunday
Big Street ATM,11/04/11,41,141300,26407557,Monday
Mount Road ATM,11/04/11,227,679100,126916999,Monday
Airport ATM,11/04/11,116,442100,82624069,Monday
KK Nagar ATM,11/04/11,266,893300,166948837,Monday
Christ College ATM,11/04/11,78,283400,52964626,Monday
Big Street ATM,12/04/11,31,111500,20838235,Tuesday
Mount Road ATM,12/04/11,180,559200,104508888,Tuesday
Airport ATM,12/04/11,107,479600,89632444,Tuesday
KK Nagar ATM,12/04/11,204,739500,138205155,Tuesday
Christ College ATM,12/04/11,82,322800,60328092,Tuesday
Big Street ATM,13/04/11,56,208500,38966565,Wednesday
Mount Road ATM,13/04/11,152,362400,67728936,Wednesday
Airport ATM,13/04/11,56,178400,33341176,Wednesday
KK Nagar ATM,13/04/11,141,399900,74737311,Wednesday
Christ College ATM,13/04/11,67,268700,50217343,Wednesday
Big Street ATM,14/04/11,30,105600,19735584,Thursday
Mount Road ATM,14/04/11,92,288700,53955143,Thursday
Airport ATM,14/04/11,79,311800,58272302,Thursday
KK Nagar ATM,14/04/11,199,727800,136018542,Thursday
Christ College ATM,14/04/11,39,157000,29341730,Thursday
Big Street ATM,15/04/11,29,90000,16820100,Friday
Mount Road ATM,15/04/11,131,508300,94996187,Friday
Airport ATM,15/04/11,110,531500,99332035,Friday
KK Nagar ATM,15/04/11,149,428100,80007609,Friday
Christ College ATM,15/04/11,96,468500,87557965,Friday
Big Street ATM,16/04/11,25,68100,12727209,Saturday
Mount Road ATM,16/04/11,135,515400,96323106,Saturday
Airport ATM,16/04/11,89,456400,85296596,Saturday
KK Nagar ATM,16/04/11,126,468000,87464520,Saturday
Christ College ATM,16/04/11,79,297900,55674531,Saturday
Big Street ATM,17/04/11,38,103000,19249670,Sunday
Mount Road ATM,17/04/11,196,538600,100658954,Sunday
Airport ATM,17/04/11,73,268000,50086520,Sunday
KK Nagar ATM,17/04/11,120,481400,89968846,Sunday
Christ College ATM,17/04/11,69,174500,32612305,Sunday
Big Street ATM,18/04/11,32,154000,28781060,Monday
Mount Road ATM,18/04/11,122,430500,80456145,Monday
Airport ATM,18/04/11,96,482600,90193114,Monday
KK Nagar ATM,18/04/11,81,315100,58889039,Monday
Christ College ATM,18/04/11,96,469100,87670099,Monday
Big Street ATM,19/04/11,27,92100,17212569,Tuesday
Mount Road ATM,19/04/11,197,673500,125870415,Tuesday
Airport ATM,19/04/11,64,217700,40685953,Tuesday
KK Nagar ATM,19/04/11,100,447600,83651964,Tuesday
Christ College ATM,19/04/11,81,273000,51020970,Tuesday
Big Street ATM,20/04/11,40,171400,32032946,Wednesday
Mount Road ATM,20/04/11,157,530100,99070389,Wednesday
Airport ATM,20/04/11,82,343500,64196715,Wednesday
KK Nagar ATM,20/04/11,166,638600,119347954,Wednesday
Christ College ATM,20/04/11,80,305700,57132273,Wednesday
Big Street ATM,21/04/11,34,120700,22557623,Thursday
Mount Road ATM,21/04/11,121,361600,67579424,Thursday
Airport ATM,21/04/11,53,246700,46105763,Thursday
KK Nagar ATM,21/04/11,164,742500,138765825,Thursday
Christ College ATM,21/04/11,62,165900,31005051,Thursday
Big Street ATM,22/04/11,24,73900,13811171,Friday
Mount Road ATM,22/04/11,161,397800,74344842,Friday
Airport ATM,22/04/11,74,262900,49133381,Friday
KK Nagar ATM,22/04/11,143,536400,100247796,Friday
Christ College ATM,22/04/11,51,173300,32388037,Friday
Big Street ATM,23/04/11,35,112300,20987747,Saturday
Mount Road ATM,23/04/11,160,552300,103219347,Saturday
Airport ATM,23/04/11,54,212600,39732814,Saturday
KK Nagar ATM,23/04/11,156,568100,106172209,Saturday
Christ College ATM,23/04/11,75,402500,75223225,Saturday
Big Street ATM,24/04/11,36,79900,14932511,Sunday
Mount Road ATM,24/04/11,126,278300,52011487,Sunday
Airport ATM,24/04/11,76,325700,60870073,Sunday
KK Nagar ATM,24/04/11,114,277200,51805908,Sunday
Christ College ATM,24/04/11,52,153700,28724993,Sunday
Big Street ATM,25/04/11,27,71600,13381324,Monday
Mount Road ATM,25/04/11,100,251700,47040213,Monday
Airport ATM,25/04/11,26,55600,10391084,Monday
KK Nagar ATM,25/04/11,154,462800,86492692,Monday
Christ College ATM,25/04/11,44,246600,46087074,Monday
Big Street ATM,26/04/11,17,62100,11605869,Tuesday
Mount Road ATM,26/04/11,127,336900,62963241,Tuesday
Airport ATM,26/04/11,78,290300,54254167,Tuesday
KK Nagar ATM,26/04/11,144,536900,100341241,Tuesday
Christ College ATM,26/04/11,72,335800,62757662,Tuesday
Big Street ATM,27/04/11,30,80100,14969889,Wednesday
Mount Road ATM,27/04/11,129,402200,75167158,Wednesday
Airport ATM,27/04/11,91,359800,67243022,Wednesday
KK Nagar ATM,27/04/11,184,766000,143157740,Wednesday
Christ College ATM,27/04/11,73,370400,69224056,Wednesday
Big Street ATM,28/04/11,32,77600,14502664,Thursday
Mount Road ATM,28/04/11,107,354000,66159060,Thursday
Airport ATM,28/04/11,95,392100,73279569,Thursday
KK Nagar ATM,28/04/11,157,512900,95855881,Thursday
Christ College ATM,28/04/11,61,270500,50553745,Thursday
Big Street ATM,29/04/11,20,86700,16203363,Friday
Mount Road ATM,29/04/11,145,382500,71485425,Friday
Airport ATM,29/04/11,86,348700,65168543,Friday
KK Nagar ATM,29/04/11,183,740200,138335978,Friday
Christ College ATM,29/04/11,77,270700,50591123,Friday
Big Street ATM,30/04/11,14,22400,4186336,Saturday
Mount Road ATM,30/04/11,200,813600,152053704,Saturday
Airport ATM,30/04/11,125,614900,114918661,Saturday
KK Nagar ATM,30/04/11,235,1128700,210942743,Saturday
Christ College ATM,30/04/11,65,274900,51376061,Saturday
Big Street ATM,01/05/11,23,60200,11250778,Sunday
Mount Road ATM,01/05/11,159,636000,118862040,Sunday
Airport ATM,01/05/11,131,468900,87632721,Sunday
KK Nagar ATM,01/05/11,148,577100,107854219,Sunday
Christ College ATM,01/05/11,52,200300,37434067,Sunday
Big Street ATM,02/05/11,23,116500,21772685,Monday
Mount Road ATM,02/05/11,96,361600,67579424,Monday
Airport ATM,02/05/11,138,617800,115460642,Monday
KK Nagar ATM,02/05/11,244,1245600,232790184,Monday
Christ College ATM,02/05/11,93,436200,81521418,Monday
Big Street ATM,03/05/11,22,97200,18165708,Tuesday
Mount Road ATM,03/05/11,204,891100,166537679,Tuesday
Airport ATM,03/05/11,95,552900,103331481,Tuesday
KK Nagar ATM,03/05/11,199,870800,162743812,Tuesday
Christ College ATM,03/05/11,77,365300,68270917,Tuesday
Big Street ATM,04/05/11,18,52900,9886481,Wednesday
Mount Road ATM,04/05/11,160,524100,97949049,Wednesday
Airport ATM,04/05/11,125,634000,118488260,Wednesday
KK Nagar ATM,04/05/11,212,992200,185432258,Wednesday
Christ College ATM,04/05/11,64,237600,44405064,Wednesday
Big Street ATM,05/05/11,32,111200,20782168,Thursday
Mount Road ATM,05/05/11,203,730500,136523145,Thursday
Airport ATM,05/05/11,106,563300,105275137,Thursday
KK Nagar ATM,05/05/11,225,1053100,196813859,Thursday
Christ College ATM,05/05/11,82,336000,62795040,Thursday
Big Street ATM,06/05/11,22,117300,21922197,Friday
Mount Road ATM,06/05/11,175,653900,122207371,Friday
Airport ATM,06/05/11,113,663000,123908070,Friday
KK Nagar ATM,06/05/11,214,951900,177900591,Friday
Christ College ATM,06/05/11,106,408100,76269809,Friday
Big Street ATM,07/05/11,28,138600,25902954,Saturday
Mount Road ATM,07/05/11,167,709400,132579766,Saturday
Airport ATM,07/05/11,116,641300,119852557,Saturday
KK Nagar ATM,07/05/11,203,1039600,194290844,Saturday
Christ College ATM,07/05/11,59,282700,52833803,Saturday
Big Street ATM,08/05/11,31,101000,18875890,Sunday
Mount Road ATM,08/05/11,127,526600,98416274,Sunday
Airport ATM,08/05/11,87,332600,62159614,Sunday
KK Nagar ATM,08/05/11,125,392500,73354325,Sunday
Christ College ATM,08/05/11,35,130900,24463901,Sunday
Big Street ATM,09/05/11,29,65600,12259984,Monday
Mount Road ATM,09/05/11,157,495800,92660062,Monday
Airport ATM,09/05/11,92,403800,75466182,Monday
KK Nagar ATM,09/05/11,155,591300,110508057,Monday
Christ College ATM,09/05/11,57,258200,48254998,Monday
Big Street ATM,10/05/11,45,204200,38162938,Tuesday
Mount Road ATM,10/05/11,174,660600,123459534,Tuesday
Airport ATM,10/05/11,88,364400,68102716,Tuesday
KK Nagar ATM,10/05/11,152,560100,104677089,Tuesday
Christ College ATM,10/05/11,52,260700,48722223,Tuesday
Big Street ATM,11/05/11,31,114900,21473661,Wednesday
Mount Road ATM,11/05/11,200,789100,147474899,Wednesday
Airport ATM,11/05/11,103,489700,91520033,Wednesday
KK Nagar ATM,11/05/11,209,837300,156482997,Wednesday
Christ College ATM,11/05/11,63,287700,53768253,Wednesday
Big Street ATM,12/05/11,23,101000,18875890,Thursday
Mount Road ATM,12/05/11,168,515700,96379173,Thursday
Airport ATM,12/05/11,117,598500,111853665,Thursday
KK Nagar ATM,12/05/11,161,678800,126860932,Thursday
Christ College ATM,12/05/11,57,201200,37602268,Thursday
Big Street ATM,13/05/11,22,53300,9961237,Friday
Mount Road ATM,13/05/11,170,608700,113759943,Friday
Airport ATM,13/05/11,87,382100,71410669,Friday
KK Nagar ATM,13/05/11,155,507200,94790608,Friday
Christ College ATM,13/05/11,42,141900,26519691,Friday
Big Street ATM,14/05/11,15,65000,12147850,Saturday
Mount Road ATM,14/05/11,180,682300,127515047,Saturday
Airport ATM,14/05/11,95,362200,67691558,Saturday
KK Nagar ATM,14/05/11,156,632800,118263992,Saturday
Christ College ATM,14/05/11,79,302700,56571603,Saturday
Big Street ATM,15/05/11,18,57300,10708797,Sunday
Mount Road ATM,15/05/11,120,393900,73615971,Sunday
Airport ATM,15/05/11,82,306700,57319163,Sunday
KK Nagar ATM,15/05/11,104,369300,69018477,Sunday
Christ College ATM,15/05/11,51,174300,32574927,Sunday
Big Street ATM,16/05/11,31,77900,14558731,Monday
Mount Road ATM,16/05/11,138,374900,70065061,Monday
Airport ATM,16/05/11,95,357500,66813175,Monday
KK Nagar ATM,16/05/11,198,922700,172443403,Monday
Christ College ATM,16/05/11,57,174000,32518860,Monday
Big Street ATM,17/05/11,23,66700,12465563,Tuesday
Mount Road ATM,17/05/11,200,549400,102677366,Tuesday
Airport ATM,17/05/11,90,331200,61897968,Tuesday
KK Nagar ATM,17/05/11,174,617000,115311130,Tuesday
Christ College ATM,17/05/11,68,267500,49993075,Tuesday
Big Street ATM,18/05/11,28,131400,24557346,Wednesday
Mount Road ATM,18/05/11,202,546100,102060629,Wednesday
Airport ATM,18/05/11,115,534300,99855327,Wednesday
KK Nagar ATM,18/05/11,190,788600,147381454,Wednesday
Christ College ATM,18/05/11,46,150200,28070878,Wednesday
Big Street ATM,19/05/11,39,162700,30407003,Thursday
Mount Road ATM,19/05/11,244,659900,123328711,Thursday
Airport ATM,19/05/11,99,462900,86511381,Thursday
KK Nagar ATM,19/05/11,170,681300,127328157,Thursday
Christ College ATM,19/05/11,53,224400,41938116,Thursday
Big Street ATM,20/05/11,29,194700,36387483,Friday
Mount Road ATM,20/05/11,182,505600,94491584,Friday
Airport ATM,20/05/11,102,492000,91949880,Friday
KK Nagar ATM,20/05/11,197,854200,159641438,Friday
Christ College ATM,20/05/11,88,376600,70382774,Friday
Big Street ATM,21/05/11,36,98300,18371287,Saturday
Mount Road ATM,21/05/11,190,588700,110022143,Saturday
Airport ATM,21/05/11,105,467700,87408453,Saturday
KK Nagar ATM,21/05/11,178,679800,127047822,Saturday
Christ College ATM,21/05/11,59,160000,29902400,Saturday
Big Street ATM,22/05/11,35,86900,16240741,Sunday
Mount Road ATM,22/05/11,127,347400,64925586,Sunday
Airport ATM,22/05/11,86,303300,56683737,Sunday
KK Nagar ATM,22/05/11,119,401200,74980268,Sunday
Christ College ATM,22/05/11,65,221000,41302690,Sunday
Big Street ATM,23/05/11,33,107000,19997230,Monday
Mount Road ATM,23/05/11,263,880700,164594023,Monday
Airport ATM,23/05/11,96,402400,75204536,Monday
KK Nagar ATM,23/05/11,176,668500,124935965,Monday
Christ College ATM,23/05/11,57,201200,37602268,Monday
Big Street ATM,24/05/11,34,120800,22576312,Tuesday
Mount Road ATM,24/05/11,241,528200,98715298,Tuesday
Airport ATM,24/05/11,83,381900,71373291,Tuesday
KK Nagar ATM,24/05/11,148,606400,113330096,Tuesday
Christ College ATM,24/05/11,70,274600,51319994,Tuesday
Big Street ATM,25/05/11,55,250400,46797256,Wednesday
Mount Road ATM,25/05/11,166,547900,102397031,Wednesday
Airport ATM,25/05/11,91,272300,50890147,Wednesday
KK Nagar ATM,25/05/11,162,619800,115834422,Wednesday
Christ College ATM,25/05/11,74,309200,57786388,Wednesday
Big Street ATM,26/05/11,65,267400,49974386,Thursday
Mount Road ATM,26/05/11,303,754400,140989816,Thursday
Airport ATM,26/05/11,125,520300,97238867,Thursday
KK Nagar ATM,26/05/11,216,766500,143251185,Thursday
Christ College ATM,26/05/11,113,532800,99574992,Thursday
Big Street ATM,27/05/11,39,161200,30126668,Friday
Mount Road ATM,27/05/11,246,737800,137887442,Friday
Airport ATM,27/05/11,98,282700,52833803,Friday
KK Nagar ATM,27/05/11,211,681300,127328157,Friday
Christ College ATM,27/05/11,105,444700,83109983,Friday
Big Street ATM,28/05/11,29,147900,27641031,Saturday
Mount Road ATM,28/05/11,167,521600,97481824,Saturday
Airport ATM,28/05/11,115,406400,75952096,Saturday
KK Nagar ATM,28/05/11,139,503100,94024359,Saturday
Christ College ATM,28/05/11,64,300400,56141756,Saturday
Big Street ATM,29/05/11,32,68700,12839343,Sunday
Mount Road ATM,29/05/11,117,385100,71971339,Sunday
Airport ATM,29/05/11,101,361800,67616802,Sunday
KK Nagar ATM,29/05/11,93,313400,58571326,Sunday
Christ College ATM,29/05/11,37,170000,31771300,Sunday
Big Street ATM,30/05/11,33,136800,25566552,Monday
Mount Road ATM,30/05/11,141,532000,99425480,Monday
Airport ATM,30/05/11,119,483400,90342626,Monday
KK Nagar ATM,30/05/11,166,534200,99836638,Monday
Christ College ATM,30/05/11,71,355100,66364639,Monday
Big Street ATM,31/05/11,34,133800,25005882,Tuesday
Mount Road ATM,31/05/11,132,441800,82568002,Tuesday
Airport ATM,31/05/11,128,500800,93594512,Tuesday
KK Nagar ATM,31/05/11,192,805700,150577273,Tuesday
Christ College ATM,31/05/11,68,346600,64776074,Tuesday
Big Street ATM,01/06/11,34,136500,25510485,Wednesday
Mount Road ATM,01/06/11,213,831200,155342968,Wednesday
Airport ATM,01/06/11,149,729400,136317566,Wednesday
KK Nagar ATM,01/06/11,252,1260100,235500089,Wednesday
Christ College ATM,01/06/11,78,261600,48890424,Wednesday
Big Street ATM,02/06/11,30,109600,20483144,Thursday
Mount Road ATM,02/06/11,246,717900,134168331,Thursday
Airport ATM,02/06/11,141,580200,108433578,Thursday
KK Nagar ATM,02/06/11,245,1152400,215372036,Thursday
Christ College ATM,02/06/11,96,474600,88697994,Thursday
Big Street ATM,03/06/11,25,124700,23305183,Friday
Mount Road ATM,03/06/11,222,742800,138821892,Friday
Airport ATM,03/06/11,96,372100,69541769,Friday
KK Nagar ATM,03/06/11,198,822500,153717025,Friday
Christ College ATM,03/06/11,84,423600,79166604,Friday
Big Street ATM,04/06/11,34,209300,39116077,Saturday
Mount Road ATM,04/06/11,234,759200,141886888,Saturday
Airport ATM,04/06/11,120,682500,127552425,Saturday
KK Nagar ATM,04/06/11,203,875500,163622195,Saturday
Christ College ATM,04/06/11,127,554100,103555749,Saturday
Big Street ATM,05/06/11,29,82200,15362358,Sunday
Mount Road ATM,05/06/11,60,168500,31490965,Sunday
Airport ATM,05/06/11,116,436900,81652241,Sunday
KK Nagar ATM,05/06/11,132,455500,85128395,Sunday
Christ College ATM,05/06/11,90,392000,73260880,Sunday
Big Street ATM,06/06/11,33,127700,23865853,Monday
Mount Road ATM,06/06/11,129,405800,75839962,Monday
Airport ATM,06/06/11,111,516500,96528685,Monday
KK Nagar ATM,06/06/11,172,648300,121160787,Monday
Christ College ATM,06/06/11,71,264200,49376338,Monday
Big Street ATM,07/06/11,27,106000,19810340,Tuesday
Mount Road ATM,07/06/11,179,739700,138242533,Tuesday
Airport ATM,07/06/11,129,496900,92865641,Tuesday
KK Nagar ATM,07/06/11,200,887500,165864875,Tuesday
Christ College ATM,07/06/11,86,381700,71335913,Tuesday
Big Street ATM,08/06/11,32,109100,20389699,Wednesday
Mount Road ATM,08/06/11,222,868800,162370032,Wednesday
Airport ATM,08/06/11,115,519100,97014599,Wednesday
KK Nagar ATM,08/06/11,202,884200,165248138,Wednesday
Christ College ATM,08/06/11,92,399400,74643866,Wednesday
Big Street ATM,09/06/11,35,171700,32089013,Thursday
Mount Road ATM,09/06/11,231,686000,128206540,Thursday
Airport ATM,09/06/11,116,430100,80381389,Thursday
KK Nagar ATM,09/06/11,194,781200,145998468,Thursday
Christ College ATM,09/06/11,51,182700,34144803,Thursday
Big Street ATM,10/06/11,39,121500,22707135,Friday
Mount Road ATM,10/06/11,199,615800,115086862,Friday
Airport ATM,10/06/11,106,460200,86006778,Friday
KK Nagar ATM,10/06/11,182,636800,119011552,Friday
Christ College ATM,10/06/11,98,421000,78680690,Friday
Big Street ATM,11/06/11,14,56700,10596663,Saturday
Mount Road ATM,11/06/11,201,635200,118712528,Saturday
Airport ATM,11/06/11,119,479000,89520310,Saturday
KK Nagar ATM,11/06/11,187,727600,135981164,Saturday
Christ College ATM,11/06/11,91,341500,63822935,Saturday
Big Street ATM,12/06/11,29,125500,23454695,Sunday
Mount Road ATM,12/06/11,175,417900,78101331,Sunday
Airport ATM,12/06/11,91,321000,59991690,Sunday
KK Nagar ATM,12/06/11,104,363100,67859759,Sunday
Christ College ATM,12/06/11,80,254700,47600883,Sunday
Big Street ATM,13/06/11,42,174800,32668372,Monday
Mount Road ATM,13/06/11,165,589700,110209033,Monday
Airport ATM,13/06/11,88,368500,68868965,Monday
KK Nagar ATM,13/06/11,180,683900,127814071,Monday
Christ College ATM,13/06/11,130,406000,75877340,Monday
Big Street ATM,14/06/11,20,72700,13586903,Tuesday
Mount Road ATM,14/06/11,170,592600,110751014,Tuesday
Airport ATM,14/06/11,86,288700,53955143,Tuesday
KK Nagar ATM,14/06/11,186,781200,145998468,Tuesday
Christ College ATM,14/06/11,144,657200,122824108,Tuesday
Big Street ATM,15/06/11,23,89100,16651899,Wednesday
Mount Road ATM,15/06/11,167,550600,102901634,Wednesday
Airport ATM,15/06/11,110,457100,85427419,Wednesday
KK Nagar ATM,15/06/11,162,657800,122936242,Wednesday
Christ College ATM,15/06/11,96,378600,70756554,Wednesday
Big Street ATM,16/06/11,34,144500,27005605,Thursday
Mount Road ATM,16/06/11,199,499700,93388933,Thursday
Airport ATM,16/06/11,102,440300,82287667,Thursday
KK Nagar ATM,16/06/11,181,843500,157641715,Thursday
Christ College ATM,16/06/11,60,289900,54179411,Thursday
Big Street ATM,17/06/11,23,88200,16483698,Friday
Mount Road ATM,17/06/11,128,486400,90903296,Friday
Airport ATM,17/06/11,85,304100,56833249,Friday
KK Nagar ATM,17/06/11,137,463500,86623515,Friday
Christ College ATM,17/06/11,55,259300,48460577,Friday
Big Street ATM,18/06/11,43,118500,22146465,Saturday
Mount Road ATM,18/06/11,240,656800,122749352,Saturday
Airport ATM,18/06/11,108,413800,77335082,Saturday
KK Nagar ATM,18/06/11,165,612900,114544881,Saturday
Christ College ATM,18/06/11,81,248600,46460854,Saturday
Big Street ATM,19/06/11,45,138500,25884265,Sunday
Mount Road ATM,19/06/11,235,474400,88660616,Sunday
Airport ATM,19/06/11,89,273900,51189171,Sunday
KK Nagar ATM,19/06/11,93,254000,47470060,Sunday
Christ College ATM,19/06/11,81,292100,54590569,Sunday
Big Street ATM,20/06/11,34,148700,27790543,Monday
Mount Road ATM,20/06/11,206,674500,126057305,Monday
Airport ATM,20/06/11,115,566400,105854496,Monday
KK Nagar ATM,20/06/11,154,646000,120730940,Monday
Christ College ATM,20/06/11,79,370200,69186678,Monday
Big Street ATM,21/06/11,51,172000,32145080,Tuesday
Mount Road ATM,21/06/11,129,303200,56665048,Tuesday
Airport ATM,21/06/11,87,316900,59225441,Tuesday
KK Nagar ATM,21/06/11,140,510600,95426034,Tuesday
Christ College ATM,21/06/11,80,401100,74961579,Tuesday
Big Street ATM,22/06/11,28,104800,19586072,Wednesday
Mount Road ATM,22/06/11,153,454400,84922816,Wednesday
Airport ATM,22/06/11,101,446400,83427696,Wednesday
KK Nagar ATM,22/06/11,179,706600,132056474,Wednesday
Christ College ATM,22/06/11,74,351200,65635768,Wednesday
Big Street ATM,23/06/11,36,132500,24762925,Thursday
Mount Road ATM,23/06/11,150,392300,73316947,Thursday
Airport ATM,23/06/11,89,331700,61991413,Thursday
KK Nagar ATM,23/06/11,139,485400,90716406,Thursday
Christ College ATM,23/06/11,57,199500,37284555,Thursday
